,Hydro_Run-of-river_and_poundage_Res,Hydro_Water_Reservoir_Res,Other_Res
2024-03-23,37.75042,11.210613000000002,7.9243901
2024-03-24,35.0284805,7.738389999999999,6.784210999999999
2024-04-17,56.9238597,12.009765000000002,17.983181000000002
2024-04-20,47.3481297,7.8430800000000005,10.481070070000001
2024-04-21,41.416799700000006,6.632232000000002,15.42951002
2024-05-15,65.373541,11.938171999999994,14.788892
2024-05-18,68.1826,9.535799999999995,7.9285630000000005
2024-05-19,65.6458506,9.959540000000004,6.9877189999999985
2024-06-19,73.89646950000001,17.468852,6.981321000000001
2024-06-22,59.8452704,10.847000000000008,24.73589
2024-06-23,64.99962,14.222071,21.206561
2024-07-17,71.35178049999999,27.921010000000024,12.204429999999995
2024-07-20,74.00670099999999,17.03131900000001,9.458633010000003
2024-07-21,73.6118,12.378975000000011,15.586802030000005
2024-08-21,56.44012,10.115855999999994,17.73639002
2024-08-24,50.32744,17.181980000000003,11.636330099999999
2024-08-25,44.48829,2.7761329999999944,27.88130047
2024-09-18,43.773559999999996,14.463530000000006,10.332149999999999
2024-09-21,37.466750000000005,11.915858999999998,9.136699999999998
2024-09-22,34.4669307,14.133848999999998,9.914749010000001
2024-10-16,51.27823,11.947453999999993,14.22440001
2024-10-19,47.60293,21.209309999999995,13.795270003999999
2024-10-20,45.9187006,7.079091000000002,9.886992
2024-11-20,29.9915405,13.233794000000003,7.786010000000001
2024-11-23,27.1701202,10.497820000000004,12.008420000000001
2024-11-24,28.579299600000002,7.266030000000001,8.565221000000001
2024-12-18,28.197110499999997,13.300022999999996,10.499670049999999
2024-12-21,26.84413,5.984004999999996,7.55498
2024-12-22,30.193979999999996,5.303889500000004,10.918859999999999
